cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
20,CL,1553562000,77,77,-70.4,291.15,3.1
20,CY,1553563837,75,75,32.57,284.26,4.1
20,FR,1553563925,86,86,4.24,277.15,5.7
90,MX,1553561160,36,36,-110.01,297.15,2.6
92,NZ,1553563724,70,70,170.5,294.82,1.34
92,IN,1553563954,96,96,94.8,286.737,0.86
75,US,1553563894,69,69,-158.01,300.15,5.7
0,AU,1553562000,31,31,133.88,296.15,8.2
0,CV,1553563955,100,100,-24.5,293.487,3.76
48,RU,1553563955,89,89,70.83,270.587,8.26
92,RU,1553563956,99,99,178.42,266.487,3.71
75,AU,1553563943,66,66,153.24,302.15,2.6
0,ET,1553562000,47,47,38.73,288.15,2.6
80,GL,1553563957,100,100,-45.24,270.237,9.51
80,ID,1553563764,100,100,105.31,296.788,2.86
0,SV,1553563826,44,44,-89.56,302.15,2.1
0,PE,1553563856,89,89,-78.15,291.137,0.26
20,TT,1553563864,83,83,-61.45,298.71,5.1
12,BR,1553563958,91,91,-67.09,298.637,0.96
48,PG,1553563958,100,100,150.8,299.937,3.26
24,OM,1553563677,75,75,57.53,286.788,1.06
36,NE,1553563958,35,35,6.28,295.287,4.26
12,EE,1553563959,84,84,26.19,269.687,4.01
0,CL,1553562000,81,81,-72.07,282.15,1.0
1,US,1553563955,52,52,-118.17,295.15,4.6
90,AR,1553562000,53,53,-69.22,283.15,3.1
56,BR,1553563740,68,68,-48.41,297.588,1.26
75,MY,1553562000,70,70,115.76,303.15,3.1
92,MX,1553563961,70,70,-98.35,296.437,2.16
0,AU,1553563474,28,28,151.22,297.59,8.7
92,IN,1553563961,66,66,85.35,294.287,4.46
88,RU,1553563961,91,91,63.78,271.337,6.91
75,IN,1553560200,82,82,88.78,293.15,1.0
0,ES,1553563821,70,70,-1.13,284.26,2.6
80,RU,1553563962,91,91,-170.99,274.187,11.11
75,GF,1553562000,74,74,-52.33,299.15,3.6
40,CG,1553562000,94,94,11.87,298.15,2.6
0,RU,1553563963,61,61,105.89,266.287,2.26
32,PY,1553563963,56,56,-56.83,292.387,2.66
0,RU,1553563964,75,75,130.41,258.487,1.91
75,CA,1553562000,58,58,-97.86,273.15,3.1
75,US,1553563762,71,71,-90.7,286.48,3.6
0,FR,1553563874,55,55,2.44,278.15,5.1
92,AU,1553563658,58,58,148.16,303.15,4.6
1,US,1553563721,28,28,-115.76,287.15,5.1
0,LK,1553562600,100,100,81.12,296.15,2.1
5,MX,1553560800,15,15,-100.51,298.15,8.7
24,RU,1553563966,70,70,112.47,262.487,1.61
0,MX,1553563815,50,50,-98.88,300.37,2.24
0,CA,1553563967,75,75,-96.99,268.987,4.06
56,MA,1553563748,95,95,-9.73,287.538,3.26
88,RU,1553563968,94,94,67.8,271.637,7.46
0,BR,1553562000,73,73,-45.44,295.15,2.6
90,AU,1553563690,69,69,153.13,301.15,3.1
24,NG,1553563968,57,57,7.44,292.587,1.11
68,RU,1553563706,90,90,39.51,269.938,6.56
0,LY,1553563969,83,83,21.55,282.887,2.01
40,SN,1553562000,82,82,-16.37,296.15,5.1
75,US,1553563815,76,76,-124.16,285.37,6.2
12,AO,1553563970,100,100,12.15,297.237,2.16
92,CD,1553563970,99,99,23.44,294.537,0.96
20,BR,1553562000,83,83,-63.87,299.15,1.16
0,IN,1553563971,87,87,77.59,281.237,0.96
